State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Evergreen Elementary,613140,2009,6.50%,0.00%,0.90%,0.90%,0.00%,0.00%,4.80%,7.40%,0.90%,0.00%,2.30%,3.90%
CA,Fairfax Elementary,613290,2009,-4.80%,0.00%,11.10%,11.10%,0.00%,0.00%,13.10%,16.70%,21.40%,0.00%,13.90%,10.00%
CA,Fairfield-Suisun Unified,613360,2009,25.60%,23.10%,8.40%,8.40%,0.00%,0.00%,18.00%,42.60%,17.00%,0.00%,21.90%,16.00%
CA,Fallbrook Union Elementary,613500,2009,3.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.50%,5.60%,2.40%,0.00%,3.20%,2.60%
CA,Fallbrook Union High,613530,2009,2.00%,14.30%,0.00%,0.00%,0.00%,0.00%,12.30%,11.10%,9.10%,0.00%,10.60%,12.70%
CA,Fillmore Unified,613800,2009,-9.90%,25.00%,0.00%,0.00%,0.00%,0.00%,16.10%,0.00%,9.90%,0.00%,15.50%,20.00%
CA,Folsom-Cordova Unified,613890,2009,16.10%,12.50%,2.40%,2.40%,0.00%,0.00%,8.50%,21.00%,4.90%,0.00%,6.50%,7.00%
CA,Fontana Unified,613920,2009,6.70%,16.00%,2.90%,2.90%,0.00%,0.00%,6.40%,15.00%,8.30%,0.00%,7.10%,6.80%
CA,Forestville Union Elementary,614010,2009,-8.10%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,8.10%,0.00%,5.80%,0.00%
CA,Fountain Valley Elementary,614220,2009,-1.90%,0.00%,0.90%,0.00%,1.00%,0.00%,1.70%,0.00%,1.90%,0.00%,1.50%,0.70%
CA,Franklin-Mckinley Elementary,614370,2009,5.40%,0.00%,1.70%,1.70%,0.00%,0.00%,5.80%,8.60%,3.10%,0.00%,4.40%,3.80%
CA,Fremont Unified,614400,2009,12.70%,6.10%,1.50%,0.00%,1.60%,1.30%,10.10%,18.50%,5.80%,0.00%,4.50%,4.10%
CA,Fremont Union High,614430,2009,4.10%,11.10%,2.20%,2.20%,0.00%,0.00%,12.40%,8.30%,4.20%,0.00%,4.30%,7.20%
CA,Freshwater Elementary,614520,2009,-3.40%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.40%,0.00%,4.50%,0.00%
CA,Fresno Unified,614550,2009,14.00%,18.40%,4.50%,4.50%,0.00%,0.00%,10.10%,23.00%,9.00%,0.00%,10.60%,7.80%
CA,Fruitvale Elementary,614700,2009,8.70%,16.70%,0.00%,0.00%,0.00%,0.00%,4.60%,14.30%,5.60%,0.00%,5.30%,0.00%
CA,Fullerton Joint Union High,614760,2009,6.80%,0.00%,3.80%,0.00%,3.40%,30.00%,6.70%,11.90%,5.10%,38.10%,6.30%,8.30%
CA,Fullerton School District,614730,2009,4.20%,0.00%,1.00%,0.00%,1.00%,0.00%,5.30%,6.80%,2.60%,2.50%,3.70%,4.10%
